"Section", "Type", "Subtype", "Key", "Object"
"récit", "produit", "végétal", "cocotier", "Cocotiers"
"récit", "produit", "végétal", "palmier", "Palmiers"
"récit", "", "", "amande", "amandes"
"récit", "", "", "amande", "amandes"
"récit", "produit", "végétal", "bananier", "bananiers"
"récit", "mets", "", "boisson", "boisson"
"récit", "ingrédient", "", "graine de cacao", "cacao"
"récit", "ingrédient", "", "graine de cacao", "cacao"
"récit", "ingrédient", "", "graine de cacao", "cacao"
"récit", "produit", "", "cacaoyer", "cacaoyer"
"récit", "produit", "", "graine de café", "café"
"récit", "produit", "", "graine de café", "café"
"récit", "produit", "", "canne à sucre", "canne à sucre"
"récit", "produit", "", "canne à sucre", "canne à sucre"
"récit", "produit", "", "canne à sucre", "canne à sucre"
"récit", "produit", "végétal", "canne à sucre", "canne à sucre"
"récit", "mets", "", "chocolat", "chocolat"
"récit", "mets", "", "chocolat", "chocolat"
"récit", "mets", "", "chocolat", "chocolats"
"récit", "produit", "végétal", "cocotier", "cocotiers"
"récit", "", "", "concombre", "concombres"
"récit", "mets", "", "crème dessert", "crèmes"
"récit", "produit", "végétal", "lait de-coco", "eaù ou lait de coco"
"récit", "produit", "", "fruits", "fruits"
"récit", "", "", "fécule de haricot", "fécule de haricots"
"récit", "produit", "végétal", "gousse de vanille", "gousses"
"récit", "produit", "", "graine de cacao", "graine"
"récit", "produit", "", "graine de vanille", "graine"
"récit", "produit", "", "graine de café", "graines"
"récit", "mets", "", "gâteau", "gâteaux"
"récit", "mets", "", "lait de coco", "lait"
"récit", "produit", "végétal", "manguier", "manguiers"
"récit", "produit", "végétal", "noix de coco", "noix de coco"
"récit", "produit", "végétal", "palmier", "palmiers"
"récit", "mets", "", "rhum", "rhum"
"récit", "mets", "", "rhum", "rhum"
"récit", "ingrédient", "", "sirop", "sirops"
"récit", "ingrédient", "", "sucre", "sucre"
"récit", "mets", "", "tafia", "tafia"
"récit", "mets", "", "tafia", "tafia"
"récit", "ingrédient", "", "graine de vanille", "vanille"
"récit", "produit", "végétal", "vanille", "vanille"
"récit", "produit", "", "vanillier", "vanillier"
