chap022,Object," ""Type"""," ""Subtype"""," ""Key"""," ""elementContent"""
chap022,objectName," """""," """""," """""," ""'estomac"""
chap022,objectName," ""mets"""," """""," ""CONSERVES DE CERISES"""," ""CONSERVES DE CERISES"""
chap022,objectName," ""produit"""," ""fruit"""," ""Cerises"""," ""Cerises"""
chap022,objectName," ""produit"""," ""fruit"""," ""FRUITTIER"""," ""FRUITIER"""
chap022,objectName," ""produit"""," ""fruit"""," ""Poires"""," ""Poires"""
chap022,objectName," ""produit"""," ""fruit"""," ""abricotiers"""," ""abricotiers"""
chap022,objectName," ""produit"""," ""fruit"""," ""arbres fruitiers"""," ""arbres fruitiers"""
chap022,objectName," ""produit"""," ""fruit"""," ""arbres fruitiers"""," ""arbres fruitiers"""
chap022,objectName," ""produit"""," ""fruit"""," ""arbres fruitiers"""," ""arbres fruitiers"""
chap022,objectName," ""ustensile"""," """""," ""assiette"""," ""assiette"""
chap022,objectName," ""mets"""," """""," ""pommes au beurre"""," ""au beurre"""
chap022,objectName," """""," """""," """""," ""bain-marie"""
chap022,objectName," ""mets"""," """""," ""beignets"""," ""beignets"""
chap022,objectName," ""produit"""," ""fruit"""," ""bigarreaux"""," ""bigarreaux"""
chap022,objectName," ""boisson"""," """""," ""boisson"""," ""boisson"""
chap022,objectName," ""boisson"""," """""," ""cidre"""," ""boisson"""
chap022,objectName," ""ustensile"""," """""," ""bouteilles"""," ""bouteilles"""
chap022,objectName," ""ingrédient"""," ""fruit"""," ""cerises"""," ""cerises"""
chap022,objectName," ""ingrédient"""," ""fruit"""," ""cerises"""," ""cerises"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises"""," ""cerises"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises"""," ""cerises"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises"""," ""cerises"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises"""," ""cerises"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises"""," ""cerises"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises"""," ""cerises"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerisier"""," ""cerises"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises jaunes"""," ""cerises jaunes"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises aigres"""," ""cerises aigres"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises communes"""," ""cerises communes"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises douces"""," ""cerises douces"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises sauvages"""," ""cerises sauvages"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerisier"""," ""cerisier"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerisier"""," ""cerisier"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerisier"""," ""cerisier"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerisier"""," ""cerisiers"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerisiers"""," ""cerisiers"""
chap022,objectName," ""mets"""," """""," ""charclottes"""," ""charlottes"""
chap022,objectName," ""produit"""," ""fruit"""," ""châtaigniers"""," ""châtaigniers"""
chap022,objectName," ""boisson"""," """""," ""cidre"""," ""cidre"""
chap022,objectName," ""boisson"""," """""," ""cidre"""," ""cidre"""
chap022,objectName," ""boisson"""," """""," ""cidre"""," ""cidre"""
chap022,objectName," ""mets"""," """""," ""confiture"""," ""confiture"""
chap022,objectName," ""mets"""," ""fruit"""," ""confiture"""," ""confiture"""
chap022,objectName," ""mets"""," """""," ""confitures"""," ""confitures"""
chap022,objectName," ""mets"""," ""fruit"""," ""conserves de cerises"""," ""conserves de cerises"""
chap022,objectName," ""mets"""," """""," ""cotignac"""," ""cotignac"""
chap022,objectName," ""ustensile"""," """""," ""couteau"""," ""couteau"""
chap022,objectName," ""mets"""," """""," ""pommes cuites au four"""," ""cuites au four"""
chap022,objectName," ""mets"""," """""," ""dessert"""," ""dessert"""
chap022,objectName," ""mets"""," ""poisson"""," ""eau-de-vie"""," ""eau-de-vie"""
chap022,objectName," ""produit"""," ""fruit"""," ""figuiers"""," ""figuiers"""
chap022,objectName," ""produit"""," ""fruit"""," ""cerises"""," ""fruit"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruit"""," ""fruit"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruitier"""," ""fruitier"""
chap022,objectName," ""ingrédient"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""ingrédient"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits"""," ""fruits"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits encore verts"""," ""fruits encore verts"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits gâtés"""," ""fruits gâtés"""
chap022,objectName," ""produit"""," ""fruit"""," ""fruits à demi mûrs"""," ""fruits à demi mûrs"""
chap022,objectName," ""mets"""," """""," ""gelées"""," ""gelées"""
chap022,objectName," """""," """""," """""," ""intestins"""
chap022,objectName," ""boisson"""," """""," ""jus de pommes fermenté"""," ""jus de pommes fermenté"""
chap022,objectName," ""boisson"""," """""," ""kirsch"""," ""kirsch"""
chap022,objectName," ""boisson"""," """""," ""liqueur forte"""," ""liqueur forte"""
chap022,objectName," ""boisson"""," """""," ""liqueurs"""," ""liqueurs"""
chap022,objectName," ""mets"""," """""," ""marmelade"""," ""marmelade"""
chap022,objectName," ""produit"""," ""fruit"""," ""merises"""," ""merises"""
chap022,objectName," ""mets"""," """""," ""mets"""," ""mets"""
chap022,objectName," ""mets"""," """""," ""mets"""," ""mets"""
chap022,objectName," ""produit"""," ""fruit"""," ""noisetiers"""," ""noisetiers"""
