chap030,Object," ""Type"""," ""Subtype"""," ""Key"""," ""elementContent""",,,,,
chap030,objectName," ""mets"""," ""féculent"""," ""pains"""," "" pains""",,,,,
chap030,objectName," ""ingrédient"""," """""," ""pâte"""," "" pâte""",,,,,
chap030,objectName," """""," """""," """""," ""","
objectName"""," ""ingrédient"""," ""féculent"""," ""Blé"""," ""Blé"""
chap030,objectName," """""," """""," """""," ""CÉRÉALES""",,,,,
chap030,objectName," """""," """""," """""," ""MOULIN""",,,,,
chap030,objectName," ""mets"""," ""féculent"""," ""pain"""," ""PAIN""",,,,,
chap030,objectName," ""mets"""," """""," ""aliment"""," ""aliment""",,,,,
chap030,objectName," """""," """""," """""," ""avoine""",,,,,
chap030,objectName," """""," """""," """""," ""avoine""",,,,,
chap030,objectName," """""," """""," """""," ""avoine""",,,,,
chap030,objectName," ""ingrédient"""," ""féculent"""," ""avoine"""," ""avoine""",,,,,
chap030,objectName," ""produit"""," ""féculent"""," ""avoine"""," ""avoine""",,,,,
chap030,objectName," """""," """""," """""," ""battoir""",,,,,
chap030,objectName," ""ingrédient"""," ""légume"""," ""betteraves"""," ""betteraves""",,,,,
chap030,objectName," ""boisson"""," """""," ""bière"""," ""bière""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," """""," """""," """""," ""blé""",,,,,
chap030,objectName," ""ingrédient"""," ""féculent"""," ""Bblé"""," ""blé""",,,,,
chap030,objectName," ""produit"""," ""féculent"""," ""blé"""," ""blé""",,,,,
chap030,objectName," ""ustensile"""," """""," ""cendres"""," ""cendres""",,,,,
chap030,objectName," ""ustensile"""," """""," ""charbons"""," ""charbons""",,,,,
chap030,objectName," ""ustensile"""," """""," ""coffre"""," ""coffre""",,,,,
chap030,objectName," """""," """""," """""," ""cuisson""",,,,,
chap030,objectName," """""," """""," """""," ""céréales""",,,,,
chap030,objectName," """""," """""," """""," ""céréales""",,,,,
chap030,objectName," ""produit"""," ""féculent"""," ""céréales"""," ""céréales""",,,,,
chap030,objectName," ""ingrédient"""," ""minéral"""," ""eau"""," ""eau""",,,,,
chap030,objectName," ""ingrédient"""," ""minéral"""," ""eau"""," ""eau""",,,,,
chap030,objectName," """""," """""," """""," ""farine""",,,,,
chap030,objectName," """""," """""," """""," ""farine""",,,,,
chap030,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""farine""",,,,,
chap030,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""farine""",,,,,
chap030,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""farine""",,,,,
chap030,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""farine""",,,,,
chap030,objectName," ""ingrédient"""," ""féculent"""," ""farine"""," ""farine""",,,,,
chap030,objectName," """""," """""," """""," ""faucille""",,,,,
chap030,objectName," """""," """""," """""," ""fléau""",,,,,
chap030,objectName," ""ustensile"""," """""," ""four"""," ""four""",,,,,
chap030,objectName," """""," """""," """""," ""grain""",,,,,
chap030,objectName," """""," """""," """""," ""grain""",,,,,
chap030,objectName," """""," """""," """""," ""grain""",,,,,
chap030,objectName," """""," """""," """""," ""grain""",,,,,
chap030,objectName," """""," """""," """""," ""grain""",,,,,
chap030,objectName," """""," """""," """""," ""grain""",,,,,
chap030,objectName," ""mets"""," """""," ""gâteaux"""," ""gâteaux""",,,,,
chap030,objectName," ""ingrédient"""," ""féculent"""," ""levain"""," ""levain""",,,,,
chap030,objectName," ""ingrédient"""," ""féculent"""," ""levain"""," ""levain""",,,,,
chap030,objectName," ""ingrédient"""," ""féculent"""," ""levure de bière"""," ""levure de bière""",,,,,
chap030,objectName," ""ingrédient"""," ""éparco"""," ""liaisons"""," ""liaisons""",,,,,
chap030,objectName," ""ingrédient"""," ""légume"""," ""légumes"""," ""légumes""",,,,,
chap030,objectName," """""," """""," """""," ""meule""",,,,,
chap030,objectName," """""," """""," """""," ""meules""",,,,,
chap030,objectName," """""," """""," """""," ""meules""",,,,,
