"Object", "Type", "Subtype", "Key", "elementContent"
"objectName", "plat", "", "crème au café", "CRÉME AU CAFÉ"
"objectName", "ingrédient", "éparco", "assaisonnement", "assaisonnement"
"objectName", "ustensile", "", "auge", "auges"
"objectName", "ustensile", "", "bain-marie", "bain-marie"
"objectName", "plat", "", "beignet", "beignets"
"objectName", "ressource", "végétal", "betterave à sucre", "betterave"
"objectName", "ressource", "végétal", "betterave à sucre", "betterave"
"objectName", "plat", "", "boisson", "boissons"
"objectName", "plat", "", "café", "café"
"objectName", "ingrédient", "", "café", "café noir"
"objectName", "ressource", "végétal", "canne à sucre", "canne à sucre"
"objectName", "ressource", "végétal", "canne à sucre", "canne à sucre"
"objectName", "ingrédient", "éparco", "cassonade", "cassonade"
"objectName", "ingrédient", "éparco", "cassonade", "cassonade"
"objectName", "ingrédient", "éparco", "cassonade", "cassonade"
"objectName", "plat", "", "charlotte de pommes", "charlottes de pommes"
"objectName", "ingrédient", "minéral", "chaux", "chaux"
"objectName", "plat", "", "chocolat", "chocolat"
"objectName", "plat", "", "confiture", "confitures"
"objectName", "ustensile", "", "couvercle de feu", "couvercle de feu"
"objectName", "plat", "", "croquette de rix", "croquettes de riz"
"objectName", "plat", "", "crème au café", "crème au café"
"objectName", "plat", "", "crème au café", "crème au café"
"objectName", "plat", "", "crème renversée", "crèmes renversées"
"objectName", "ustensile", "", "cuve", "cuves"
"objectName", "ustensile", "", "cylindre", "cylindres"
"objectName", "ressource", "végétal", "betterave à sucre", "espèce à chair blanche"
"objectName", "ressource", "végétal", "figue", "figues"
"objectName", "ressource", "végétal", "fraise", "fraises"
"objectName", "plat", "", "fruit cuit", "fruits cuits"
"objectName", "ingrédient", "animal", "æuf", "jaunes d'œufs"
"objectName", "ressource", "végétal", "betterave à sucre", "jus"
"objectName", "ingrédient", "produit_laitier", "lait", "lait"
"objectName", "ingrédient", "produit_laitier", "lait", "lait"
"objectName", "ressource", "végétal", "melon", "melons"
"objectName", "plat", "", "met", "mets"
"objectName", "ressource", "", "animal", "miel"
"objectName", "ustensile", "", "moule", "moules"
"objectName", "ingrédient", "éparco", "mélasse", "mélasse"
"objectName", "ressource", "végétal", "canne à sucre", "mœlle juteuse et sucrée"
"objectName", "ingrédient", "éparco", "sucre", "pains"
"objectName", "ressource", "végétal", "plante sucrière", "plantes"
"objectName", "ressource", "végétal", "plante sucrière", "plantes"
"objectName", "ustensile", "", "plat", "plat"
"objectName", "plat", "", "plat", "plats"
"objectName", "plat", "", "plat sucré", "plats sucrés"
"objectName", "plat", "", "plat sucré", "plats sucrés"
"objectName", "ressource", "végétal", "poire", "poires"
"objectName", "plat", "", "pomme au beurre", "pommes au beurre"
"objectName", "ustensile", "", "pot", "pots"
"objectName", "plat", "", "pot de crème", "pots de crème"
"objectName", "ressource", "végétal", "betterave à sucre", "pulpe"
"objectName", "ressource", "végétal", "betterave à sucre", "pulpe"
"objectName", "plat", "", "pâtisserie", "pâtisseries"
"objectName", "ressource", "végétal", "betterave à sucre", "racines"
"objectName", "ressource", "végétal", "raisin", "raisins"
"objectName", "ressource", "végétal", "canne à sucre", "roseau"
"objectName", "ressource", "végétal", "canne à sucre", "roseaux"
"objectName", "ustensile", "", "sac de laine", "sacs de laine"
"objectName", "ressource", "végétal", "betterave à sucre", "sirop"
"objectName", "plat", "", "sirop", "sirops"
"objectName", "plat", "", "soufflé de fécule", "soufflés de fécule"
"objectName", "ressource", "végétal", "canne à sucre", "suc"
"objectName", "ressource", "végétal", "sucre", "suc"
"objectName", "ingrédient", "éparco", "sucre", "sucre"
"objectName", "ingrédient", "éparco", "sucre", "sucre"
"objectName", "ingrédient", "éparco", "sucre", "sucre"
"objectName", "ingrédient", "éparco", "sucre", "sucre"
"objectName", "ingrédient", "éparco", "sucre", "sucre"
"objectName", "ingrédient", "éparco", "sucre", "sucre"
"objectName", "ingrédient", "éparco", "sucre", "sucre"
"objectName", "ingrédient", "éparco", "sucre", "sucre"
"objectName", "ingrédient", "éparco", "sucre", "sucre"
"objectName", "ingrédient", "éparco", "sucre", "sucre"
"objectName", "plat", "", "sucre", "sucre"
"objectName", "ingrédient", "éparco", "sucre", "sucre cassé"
"objectName", "produit", "végétal", "sucre", "sucre de betteraves"
"objectName", "ustensile", "", "tamis", "tamis"
"objectName", "plat", "", "thé", "thé"
"objectName", "plat", "", "tisane", "tisanes"
"objectName", "ustensile", "", "turbine", "turbines"
"objectName", "ustensile", "", "vase", "vases"
