Chapter,Object," ""Type"""," ""Subtype"""," ""Key"""," ""elementContent""",,,,,
135,objectName," ""ustensile"""," """""," """""," "" assiette""",,,,,
135,objectName," ""ingrédient"""," ""fruit"""," ""fruit"""," "" fruits""",,,,,
135,objectName," ""ustensile"""," """""," ""tourtière plate"""," "" tourtière plate""",,,,,
135,objectName," ""ingrédient"""," """""," ""caramel"""," "" caramel""",,,,,
135,objectName," ""ingrédient"""," ""laitier"""," ""crème"""," "" crème""",,,,,
135,objectName," ""ustensile"""," """""," ""feu"""," "" feu plus vif """,,,,,
135,objectName," """""," """""," """""," "" friandises""",,,,,
135,objectName," ""ingrédient"""," ""laitier"""," ""lait"""," "" lait""",,,,,
135,objectName," ""ustensile"""," """""," ""moule"""," "" moule""",,,,,
135,objectName," ""ustensile"""," """""," ""paper"""," "" papier""",,,,,
135,objectName," ""mets"""," """""," ""pâté de foie gras"""," "" pâtés de foies gras de Strasbourg","
objectName"""," ""ingrédient"""," ""éparco"""," ""sucre"""," "" sucre en poudre"""
135,objectName," ""ustensile"""," """""," ""table"""," "" table""",,,,,
135,objectName," ""mets"""," """""," ""tarte"""," "" tarte """,,,,,
135,objectName," ""ustensile"""," """""," ""terrine"""," "" terrine""",,,,,
135,objectName," ""ingrédient"""," ""fruit"""," ""zeste de citron"""," "" zeste d'un citron""",,,,,
135,objectName," ""mets"""," """""," ""biscuit de Savoie"""," ""BISCUIT DE SAVOIE""",,,,,
135,objectName," ""mets"""," """""," ""brioche"""," ""BRIOCHE""",,,,,
135,objectName," ""mets"""," """""," ""tarte aux confitures"""," ""CONFITURES""",,,,,
135,objectName," ""ustensile"""," """""," ""cercle pour tartes"""," ""Cercle pour les tartes""",,,,,
135,objectName," ""mets"""," """""," ""galette de ménage"""," ""GALETTE DE M√âNAGE""",,,,,
135,objectName," ""mets"""," """""," ""gâteau de Savoie"""," ""GATEAU """,,,,,
135,objectName," ""mets"""," """""," ""gâteau simple"""," ""GATEAU SIMPLE""",,,,,
135,objectName," ""ustensile"""," """""," ""moule"""," ""MOULES""",,,,,
135,objectName," ""ustensile"""," """""," ""moule ovale pour pâté"""," ""Moule ovale pour pâtés""",,,,,
135,objectName," ""ustensile"""," """""," ""moule pour biscuits"""," ""Moule pour biscuits""",,,,,
135,objectName," ""ustensile"""," """""," ""moule pour gâteau"""," ""Moule pour gâteaux""",,,,,
135,objectName," ""ustensile"""," """""," ""moule pour fromage et crème"""," ""Moule pour fromages et crèmes""",,,,,
135,objectName," ""ustensile"""," """""," ""moule pour gâteau de riz"""," ""Moule pour gâteau de riz""",,,,,
135,objectName," ""ustensile"""," """""," ""moule pour madeleines"""," ""Moule pour madeleines""",,,,,
135,objectName," ""ustensile"""," """""," ""moule rond pour pâté"""," ""Moule rond pour pâtés""",,,,,
135,objectName," ""ustensile"""," """""," ""moule à pâtisserie"""," ""Moules à pâtisserie""",,,,,
135,objectName," ""mets"""," """""," ""paté de campagne"""," ""PAT√â DE CAMPAGNE""",,,,,
135,objectName," ""ustensile"""," """""," ""plaque pour le four"""," ""Plaque pour mettre au four les galettes et les tartes""",,,,,
135,objectName," ""mets"""," """""," ""tarte aux pommes"""," ""TARTE AUX POMMES""",,,,,
135,objectName," ""ingrédient"""," ""féculent"""," ""pâte"""," ""abaisse de pâte""",,,,,
135,objectName," ""ustensile"""," """""," ""assiette"""," ""assiette""",,,,,
135,objectName," ""ustensile"""," """""," ""assiette"""," ""assiette""",,,,,
135,objectName," ""ingrédient"""," ""laitier"""," ""beurre"""," ""beurre""",,,,,
135,objectName," ""ingrédient"""," ""laitier"""," ""beurre"""," ""beurre""",,,,,
135,objectName," ""ingrédient"""," ""laitier"""," ""beurre"""," ""beurre """,,,,,
135,objectName," ""ingrédient"""," """""," ""œuf"""," ""blanc""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," ""blancs""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," ""blancs""",,,,,
135,objectName," ""ingrédient"""," ""animal"""," œuf"""," ""blancs""",,,,,
135,objectName," ""mets"""," """""," ""bouillon"""," ""bouillon""",,,,,
135,objectName," ""mets"""," """""," ""brioche"""," ""brioche""",,,,,
135,objectName," ""mets"""," """""," ""brioche"""," ""brioche""",,,,,
135,objectName," ""ingrédient"""," """""," ""caramel"""," ""caramel""",,,,,
135,objectName," ""ingrédient"""," """""," ""caramel"""," ""caramel""",,,,,
135,objectName," ""ingrédient"""," """""," ""caramel"""," ""caramel""",,,,,
135,objectName," ""ingrédient"""," """""," ""caramel"""," ""caramel""",,,,,
135,objectName," ""ingrédient"""," """""," ""caramel"""," ""caramel""",,,,,
135,objectName," ""ingrédient"""," """""," ""caramel"""," ""caramel""",,,,,
135,objectName," ""ingrédient"""," """""," ""caramel"""," ""caramel""",,,,,
135,objectName," ""ustensile"""," """""," ""carton"""," ""carton""",,,,,
135,objectName," ""ustensile"""," """""," ""casserole"""," ""casserole""",,,,,
135,objectName," ""mets"""," """""," ""pâté d'alouettes"""," ""ceux d'alouettes de Pithiviers","
objectName"""," ""mets"""," """""," ""pâté de canard"""," ""ceux de canards d'Amiens"""
135,objectName," ""ingrédient"""," ""carné"""," ""chair à saucisse"""," ""chair à saucisses""",,,,,
135,objectName," ""ingrédient"""," ""fruit"""," ""confiture"""," ""confitures""",,,,,
135,objectName," ""mets"""," """""," ""tarte aux confitures"""," ""confitures""",,,,,
135,objectName," ""ustensile"""," """""," ""coquille"""," ""coquille""",,,,,
135,objectName," ""ustensile"""," """""," ""corbeille à pain"""," ""corbeille à pain""",,,,,
135,objectName," ""ustensile"""," """""," """""," ""couteau""",,,,,
135,objectName," ""ustensile"""," """""," ""couteau"""," ""couteau""",,,,,
135,objectName," ""ustensile"""," """""," ""couvercle"""," ""couvercle""",,,,,
135,objectName," ""ustensile"""," """""," ""couverture"""," ""couverture""",,,,,
135,objectName," ""mets"""," """""," ""crème"""," ""crème""",,,,,
135,objectName," ""mets"""," """""," ""crème renversée"""," ""crème""",,,,,
135,objectName," ""mets"""," """""," ""crème renversée"""," ""crème""",,,,,
135,objectName," ""mets"""," """""," ""crème renversée"""," ""crème renversée""",,,,,
135,objectName," ""mets"""," """""," ""crème renversée"""," ""crème renversée""",,,,,
135,objectName," ""mets"""," """""," ""crème renversée"""," ""crème renversée""",,,,,
135,objectName," ""mets"""," """""," ""crème renversée"""," ""crème renversée.""",,,,,
