Chapter,Object," ""Type"""," ""Subtype"""," ""Key"""," ""elementContent"""
137,objectName," ""produit"""," ""végétal"""," ""cacao"""," ""Amérique centrale"""
137,objectName," ""produit"""," ""végétal"""," ""cacao"""," ""Antilles"""
137,objectName," ""produit"""," ""végétal"""," ""café"""," ""Bourbon"""
137,objectName," ""mets"""," """""," ""chocolat chaud"""," ""CHOCOLAT"""
137,objectName," ""produit"""," ""végétal"""," ""cocotier"""," ""Cocotiers"""
137,objectName," """""," """""," """""," ""Eaux thermales"""
137,objectName," ""produit"""," ""végétal"""," ""café"""," ""Moka"""
137,objectName," ""produit"""," ""végétal"""," ""palmier"""," ""Palmiers"""
137,objectName," ""ustensile"""," """""," ""tasse"""," ""TASSE"""
137,objectName," """""," """""," """""," ""amandes"""
137,objectName," ""produit"""," ""végétal"""," ""cacao"""," ""amandes"""
137,objectName," ""produit"""," ""végétal"""," ""ananas"""," ""ananas"""
137,objectName," ""produit"""," ""végétal"""," ""banane"""," ""bananes"""
137,objectName," ""produit"""," ""végétal"""," ""bananier"""," ""bananiers"""
137,objectName," ""produit"""," ""végétal"""," """""," ""boisson"""
137,objectName," ""produit"""," ""végétal"""," ""b≈ìuf"""," ""b≈ìuf"""
137,objectName," ""ingrédient"""," ""végétal"""," """""," ""cacao"""
137,objectName," ""ingrédient"""," ""végétal"""," ""cacao"""," ""cacao"""
137,objectName," ""produit"""," ""végétal"""," ""cacao"""," ""cacao"""
137,objectName," ""produit"""," ""végétal"""," ""cacao"""," ""cacao"""
137,objectName," ""produit"""," ""végétal"""," ""cacao"""," ""cacao"""
137,objectName," ""produit"""," ""végétal"""," ""cacaoyer"""," ""cacaoyer"""
137,objectName," ""produit"""," ""végétal"""," ""cacaoyer"""," ""cacaoyer"""
137,objectName," ""produit"""," ""végétal"""," ""café"""," ""café"""
137,objectName," ""produit"""," ""végétal"""," ""café"""," ""café"""
137,objectName," ""produit"""," ""végétal"""," ""café"""," ""café"""
137,objectName," ""produit"""," ""végétal"""," ""café"""," ""café"""
137,objectName," ""produit"""," ""végétal"""," ""café"""," ""café"""
137,objectName," ""mets"""," """""," ""café au lait"""," ""café au lait"""
137,objectName," """""," """""," """""," ""canne à sucre"""
137,objectName," ""produit"""," ""végétal"""," ""canne à sucre"""," ""canne à sucre"""
137,objectName," ""produit"""," ""végétal"""," ""canne à sucre"""," ""canne à sucre"""
137,objectName," ""produit"""," ""végétal"""," ""canne à sucre"""," ""canne à sucre"""
137,objectName," ""produit"""," ""végétal"""," ""canne à sucre"""," ""canne à sucre"""
137,objectName," ""ustensile"""," """""," ""charbon"""," ""charbon"""
137,objectName," ""ingrédient"""," ""végétal"""," ""chocolat"""," ""chocolat"""
137,objectName," ""mets"""," """""," ""chocolat"""," ""chocolat"""
137,objectName," ""mets"""," """""," ""chocolat"""," ""chocolat"""
137,objectName," ""mets"""," """""," ""chocolat chaud"""," ""chocolat"""
137,objectName," ""mets"""," """""," ""chocolat"""," ""chocolats"""
137,objectName," ""mets"""," """""," ""chocolat"""," ""chocolats"""
137,objectName," ""produit"""," ""végétal"""," ""chèvre"""," ""chèvre"""
137,objectName," ""produit"""," ""végétal"""," ""citron"""," ""citron"""
137,objectName," ""produit"""," ""végétal"""," ""cocotier"""," ""cocotiers"""
137,objectName," """""," """""," """""," ""concombres"""
137,objectName," ""mets"""," """""," ""crème dessert"""," ""crèmes"""
137,objectName," ""produit"""," ""végétal"""," ""coco"""," ""eau"""
137,objectName," ""produit"""," """""," ""eau minérale"""," ""eaux minérales"""
137,objectName," ""produit"""," ""végétal"""," ""cacao"""," ""fruits"""
137,objectName," ""produit"""," ""végétal"""," ""fécule de haricot"""," ""fécule de haricots"""
137,objectName," ""produit"""," ""végétal"""," ""gousse de vanille"""," ""gousses"""
137,objectName," ""produit"""," ""végétal"""," ""cacao"""," ""graine"""
137,objectName," ""produit"""," ""végétal"""," ""vanille"""," ""graine"""
137,objectName," ""produit"""," ""animal"""," ""graisse"""," ""graisse"""
137,objectName," ""mets"""," """""," ""gâteau"""," ""gâteaux"""
137,objectName," ""produit"""," ""végétal"""," ""canne à sucre"""," ""jus"""
137,objectName," ""ingrédient"""," ""laitier"""," ""lait"""," ""lait"""
137,objectName," ""produit"""," ""végétal"""," ""coco"""," ""lait"""
137,objectName," ""produit"""," ""végétal"""," ""coco"""," ""lait de coco"""
137,objectName," ""produit"""," ""végétal"""," ""manguier"""," ""manguiers"""
137,objectName," ""produit"""," ""végétal"""," ""manioc"""," ""manioc"""
137,objectName," ""produit"""," ""végétal"""," ""maïs"""," ""maïs"""
137,objectName," ""produit"""," ""végétal"""," ""coco"""," ""noix de coco"""
137,objectName," ""produit"""," ""végétal"""," ""orange"""," ""oranges"""
