"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch014", "récit", "", "", "", "Austrasie"
"ch014", "récit", "", "", "", "Austrasie"
"ch014", "récit", "http://www.wikidata.org/entity/Q105098", "", "Austrasia", "Austrasie"
"ch014", "récit", "http://www.wikidata.org/entity/Q181285", "", "Cambrai", "Cambrai"
"ch014", "récit", "", "", "", "Fragicourt"
"ch014", "récit", "", "", "", "France"
"ch014", "récit", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch014", "récit", "http://www.wikidata.org/entity/Q90", "", "Paris", "Paris"
"ch014", "récit", "http://www.wikidata.org/entity/Q2961670", "", "Chaussée Brunehaut", "chaussée Brunehaut"
"ch014", "morale", "", "", "", "Cambrai"
"ch014", "morale", "http://www.wikidata.org/entity/Q181285", "", "Cambrai", "Cambrai"
"ch014", "histoire", "", "", "", "Austrasie"
"ch014", "histoire", "http://www.wikidata.org/entity/Q105098", "", "Austrasia", "Austrasie"
"ch014", "histoire", "", "", "", "Espagne"
"ch014", "histoire", "http://www.wikidata.org/entity/Q29", "", "Spain", "Espagne"
"ch014", "histoire", "", "", "", "France"
"ch014", "histoire", "", "", "", "Neustrie"
