"Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch053", "récit", "mets", "", "flan", "Flan"
"ch053", "récit", "mets", "", "tarte", "Tarte"
"ch053", "récit", "produit", "fabriqué", "brosse", "brosses fines"
"ch053", "récit", "produit", "boisson", "café", "café"
"ch053", "récit", "produit", "carné", "porc", "cochon"
"ch053", "récit", "produit", "carné", "porc", "cochon de lait"
"ch053", "récit", "ingrédient", "laitier", "crème", "crème"
"ch053", "récit", "ingrédient", "carné", "porc", "filet de porc"
"ch053", "récit", "mets", "", "flan", "flans"
"ch053", "récit", "ustensile", "", "fourchette", "fourchettes"
"ch053", "récit", "mets", "", "légume", "légumes"
"ch053", "récit", "produit", "fabriqué", "pinceau", "pinceaux"
"ch053", "récit", "produit", "carné", "porc", "porc"
"ch053", "récit", "mets", "", "rôti", "rôti"
"ch053", "récit", "mets", "", "rôti de porc", "rôti"
"ch053", "récit", "mets", "", "rôti de porc", "rôti"
"ch053", "récit", "mets", "", "rôti de porc", "rôti"
"ch053", "récit", "produit", "animal", "soie de porc", "soies du porc"
"ch053", "questionnaire", "mets", "", "plat", "plat"
"ch053", "sciences_naturelles", "", "", "", "PORC"
"ch053", "sciences_naturelles", "", "", "", "carottes"
"ch053", "sciences_naturelles", "", "", "", "chair"
"ch053", "sciences_naturelles", "", "", "", "drèches"
"ch053", "sciences_naturelles", "", "", "", "glutens"
"ch053", "sciences_naturelles", "", "", "", "graisse"
"ch053", "sciences_naturelles", "", "", "", "légumes"
"ch053", "sciences_naturelles", "", "", "", "mets"
"ch053", "sciences_naturelles", "", "", "", "orge"
"ch053", "sciences_naturelles", "", "", "", "pommes de terre"
"ch053", "sciences_naturelles", "", "", "", "porc"
"ch053", "sciences_naturelles", "", "", "", "porc sauvage"
"ch053", "sciences_naturelles", "", "", "", "porcs"
"ch053", "sciences_naturelles", "", "", "", "porcs"
"ch053", "sciences_naturelles", "", "", "", "porcs"
"ch053", "sciences_naturelles", "", "", "", "sanglier"
"ch053", "sciences_naturelles", "", "", "", "sanglier"
"ch053", "sciences_naturelles", "", "", "", "sarrasin"
"ch053", "sciences_naturelles", "", "", "", "viande"
"ch053", "industrie", "", "", "", "porc"
"ch053", "industrie", "", "", "", "porc"
"ch053", "industrie", "", "", "", "sanglier"
"ch053", "économie_domestique", "ingrédient", "légume", "garniture", "Garniture"
"ch053", "économie_domestique", "mets", "", "rôti", "RÔTIS"
"ch053", "économie_domestique", "mets", "", "andouille", "andouilles"
"ch053", "économie_domestique", "ingrédient", "carné", "graisse de porc", "assaisonnements"
"ch053", "économie_domestique", "ingrédient", "éparco", "assaisonnement", "assaisonnements"
"ch053", "économie_domestique", "ingrédient", "laitier", "beurre", "beurre"
"ch053", "économie_domestique", "mets", "", "boudin", "boudin"
"ch053", "économie_domestique", "ingrédient", "", "bouillon", "bouillon"
"ch053", "économie_domestique", "ingrédient", "carné", "bœuf", "bœuf"
"ch053", "économie_domestique", "ingrédient", "légume", "carotte", "carottes"
"ch053", "économie_domestique", "mets", "", "cervelas", "cervelas"
"ch053", "économie_domestique", "produit", "carné", "porc", "chair"
"ch053", "économie_domestique", "produit", "carné", "porc", "chair"
"ch053", "économie_domestique", "ingrédient", "légume", "cresson", "cresson"
"ch053", "économie_domestique", "ustensile", "", "cuiller", "cuiller"
"ch053", "économie_domestique", "ingrédient", "carné", "cuissot", "cuissots"
"ch053", "économie_domestique", "mets", "", "côtelette", "côtelettes"
"ch053", "économie_domestique", "ustensile", "", "feu", "feu"
"ch053", "économie_domestique", "ustensile", "", "feu", "feu"
"ch053", "économie_domestique", "ustensile", "", "feu", "feu"
"ch053", "économie_domestique", "ustensile", "", "feu", "feu vif;"
"ch053", "économie_domestique", "mets", "", "fromage de cochon", "fromage de cochon"
"ch053", "économie_domestique", "mets", "", "galantine de cochbon de lait", "galantine de cochon de lait"
"ch053", "économie_domestique", "ingrédient", "carné", "graisse", "graisse"
"ch053", "économie_domestique", "ingrédient", "carné", "graisse de porc", "graisse"
"ch053", "économie_domestique", "produit", "carné", "lard", "graisse"
"ch053", "économie_domestique", "produit", "carné", "porc", "graisse"
"ch053", "économie_domestique", "produit", "carné", "lard", "graisse de porc"
"ch053", "économie_domestique", "ingrédient", "carné", "hure de porc", "hure"
"ch053", "économie_domestique", "produit", "carné", "jambon", "jambons"
"ch053", "économie_domestique", "ingrédient", "carné", "jus de viande", "jus"
"ch053", "économie_domestique", "ingrédient", "carné", "jus de viande", "jus de la viande"
"ch053", "économie_domestique", "ingrédient", "carné", "langue de porc>", "langue"
"ch053", "économie_domestique", "produit", "carné", "lard", "lard"
"ch053", "économie_domestique", "produit", "carné", "lard", "lard"
"ch053", "économie_domestique", "produit", "carné", "porc", "lard"
"ch053", "économie_domestique", "ustensile", "", "lèchefrite", "lèchefrite"
"ch053", "économie_domestique", "ustensile", "", "lèchefriute", "lèchefrite"
"ch053", "économie_domestique", "mets", "", "met", "mets"
"ch053", "économie_domestique", "ingrédient", "carné", "morceau", "morceau"
"ch053", "économie_domestique", "ingrédient", "carné", "mouton", "mouton"
"ch053", "économie_domestique", "ingrédient", "carné", "pied de porc", "pieds"
"ch053", "économie_domestique", "ustensile", "", "plat", "plat"
"ch053", "économie_domestique", "ustensile", "", "plat", "plat"
"ch053", "économie_domestique", "ustensile", "", "plat", "plat"
"ch053", "économie_domestique", "produit", "", "mets", "plats"
"ch053", "économie_domestique", "ingrédient", "légume", "", "pommes de terre"
"ch053", "économie_domestique", "ingrédient", "carné", "porc", "porc"
"ch053", "économie_domestique", "produit", "animal", "porc", "porc"
"ch053", "économie_domestique", "produit", "carné", "porc", "porc"
"ch053", "économie_domestique", "produit", "carné", "porc", "porc"
"ch053", "économie_domestique", "mets", "", "ragoût", "ragoût"
"ch053", "économie_domestique", "ingrédient", "carné", "rognons de porc", "rognons"
"ch053", "économie_domestique", "mets", "", "rôti", "rôti"
"ch053", "économie_domestique", "mets", "", "rôti", "rôti"
"ch053", "économie_domestique", "mets", "", "rôti", "rôti"
"ch053", "économie_domestique", "mets", "", "rôti", "rôtis"
"ch053", "économie_domestique", "mets", "", "rôti", "rôtis"
"ch053", "économie_domestique", "mets", "", "rôti", "rôtis"
"ch053", "économie_domestique", "produit", "carné", "saindoux", "saindoux"
"ch053", "économie_domestique", "ingrédient", "animal", "sang", "sang"
"ch053", "économie_domestique", "produit", "carné", "porc", "sang"
"ch053", "économie_domestique", "mets", "", "saucisse", "saucisses"
"ch053", "économie_domestique", "ustensile", "", "saucière", "saucière"
"ch053", "économie_domestique", "ustensile", "", "saucière", "saucière"
"ch053", "économie_domestique", "ingrédient", "éparco", "sel", "sel"
"ch053", "économie_domestique", "ustensile", "", "table", "table"
"ch053", "économie_domestique", "ingrédient", "carné", "veau", "veau"
"ch053", "économie_domestique", "ingrédient", "carné", "veau", "veau"
"ch053", "économie_domestique", "produit", "carné", "porc", "viande de porc"
"ch053", "économie_domestique", "produit", "carné", "porc", "viande de porc"
"ch053", "économie_domestique", "ingrédient", "carné", "viande hâchée de porc", "viande hachée"
"ch053", "économie_domestique", "ingrédient", "carné", "viande", "viandes"
