Section", "Type", "Subtype", "Key", "Object"
"récit", "ingrédient", "laitier", "lait", " lait"
"récit", "ingrédient", "éparco", "sucre", " sucre en poudre"
"récit", "ustensile", "", "table", " table"
"récit", "ustensile", "", "cercle pour tartes", "Cercle pour les tartes"
"récit", "ustensile", "", "moule ovale pour pâté", "Moule ovale pour pâtés"
"récit", "ustensile", "", "moule pour biscuits", "Moule pour biscuits"
"récit", "ustensile", "", "moule pour gâteau", "Moule pour gâteaux"
"récit", "ustensile", "", "moule pour fromage et crème", "Moule pour fromages et crèmes"
"récit", "ustensile", "", "moule pour gâteau de riz", "Moule pour gâteau de riz"
"récit", "ustensile", "", "moule pour madeleines", "Moule pour madeleines"
"récit", "ustensile", "", "moule rond pour pâté", "Moule rond pour pâtés"
"récit", "ustensile", "", "moule à pâtisserie", "Moules à pâtisserie"
"récit", "ustensile", "", "plaque pour le four", "Plaque pour mettre au four les galettes et les tartes"
"récit", "ustensile", "", "assiette", "assiette"
"récit", "ingrédient", "", "caramel", "caramel"
"récit", "ingrédient", "", "caramel", "caramel"
"récit", "ustensile", "", "couteau", "couteau"
"récit", "mets", "", "crème", "crème"
"récit", "mets", "", "crème renversée", "crème renversée"
"récit", "mets", "", "crème renversée", "crème renversée"
"récit", "ustensile", "", "doroir", "doroir"
"récit", "ustensile", "", "four", "four"
"récit", "ustensile", "", "four", "four"
"récit", "mets", "", "friandise", "friandises"
"récit", "ingrédient", "laitier", "lait", "lait"
"récit", "ustensile", "", "moule", "moule"
"récit", "ingrédient", "fruit", "noyau", "noyaux"
"récit", "ustensile", "", "mets", "plat"
"récit", "ingrédient", "fruit", "prune", "prunes de reine-Claude"
"récit", "ingrédient", "féculent", "pâte", "pâte"
"récit", "ingrédient", "féculent", "pâte", "pâte"
"récit", "mets", "", "pâtisserie", "pâtisseries"
"récit", "ustensile", "", "rouleau", "rouleau"
"récit", "ingrédient", "éparco", "sucre", "sucre"
"récit", "ingrédient", "éparco", "sucre", "sucre"
"récit", "mets", "", "tarte", "tarte"
"récit", "mets", "", "tarte aux prunes", "tarte aux prunes"
"récit", "mets", "", "tarte aux prunes", "tarte aux prunes"
"récit", "mets", "", "tarte aux prunes", "tarte aux reines-Claude."
"récit", "ingrédient", "éparco", "vanille", "vanille"
"récit", "ingrédient", "animal", "œuf", "œufs"
"récit", "ingrédient", "animal", "œuf", "œufs battus"
"questionnaire", "mets", "", "crème renversée", "crème"
"questionnaire", "mets", "", "crème renversée", "crème"
"questionnaire", "mets", "", "crème renversée", "crème renversée."
"questionnaire", "mets", "", "tarte aux prunes", "tarte"
"questionnaire", "mets", "", "tarte aux prunes", "tarte"
"questionnaire", "mets", "", "tarte aux prunes", "tarte aux prunes"
"économie_domestique", "ustensile", "", "", " assiette"
"économie_domestique", "ingrédient", "fruit", "fruit", " fruits"
"économie_domestique", "ustensile", "", "tourtière plate", " tourtière plate"
"économie_domestique", "ingrédient", "", "caramel", " caramel"
"économie_domestique", "ingrédient", "laitier", "crème", " crème"
"économie_domestique", "ustensile", "", "feu", " feu plus vif "
"économie_domestique", "ustensile", "", "moule", " moule"
"économie_domestique", "ustensile", "", "paper", " papier"
"économie_domestique", "mets", "", "pâté de foie gras", " pâtés de foies gras de Strasbourg,"
"économie_domestique", "mets", "", "tarte", " tarte "
"économie_domestique", "ustensile", "", "terrine", " terrine"
"économie_domestique", "ingrédient", "fruit", "zeste de citron", " zeste d'un citron"
"économie_domestique", "mets", "", "biscuit de Savoie", "BISCUIT DE SAVOIE"
