"Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch109", "récit", "produit", "animal", "canard", "Canards"
"ch109", "récit", "mets", "", "terrine de Toulouse", "Toulouse"
"ch109", "récit", "produit", "animal", "animal de basse cour", "animaux de basse-cour"
"ch109", "récit", "produit", "animal", "beurre", "beurre"
"ch109", "récit", "produit", "animal", "beurre", "beurre"
"ch109", "récit", "ustensile", "", "bol", "bol"
"ch109", "récit", "ustensile", "", "boîtes à lait", "boîtes à lait"
"ch109", "récit", "produit", "animal", "vache", "bretonnes"
"ch109", "récit", "produit", "carné", "canard", "canard"
"ch109", "récit", "produit", "animal", "canard doméstique", "canard domestique"
"ch109", "récit", "produit", "animal", "canard", "canards"
"ch109", "récit", "ingrédient", "carné", "caneton", "canetons"
"ch109", "récit", "ingrédient", "carné", "canard", "chair"
"ch109", "récit", "ingrédient", "carné", "oie", "chair"
"ch109", "récit", "produit", "animal", "dindon", "chair"
"ch109", "récit", "produit", "fabriqué", "coussin", "coussins"
"ch109", "récit", "produit", "animal", "crème", "crème"
"ch109", "récit", "produit", "animal", "dindon", "dindon"
"ch109", "récit", "produit", "animal", "dindon", "dindons"
"ch109", "récit", "ingrédient", "", "eau", "eau"
"ch109", "récit", "produit", "animal", "vache", "flamandes"
"ch109", "récit", "ingrédient", "carné", "foie de caneton", "foies"
"ch109", "récit", "produit", "végétal", "foin", "foin"
"ch109", "récit", "produit", "animal", "fromage", "fromage"
"ch109", "récit", "mets", "", "fromage à la crème", "fromage à la crème"
"ch109", "récit", "ingrédient", "carné", "graisse d'oie", "graisse"
"ch109", "récit", "produit", "animal", "vache", "hollandaises"
"ch109", "récit", "produit", "animal", "lait", "lait"
"ch109", "récit", "produit", "animal", "lait", "lait"
"ch109", "récit", "produit", "animal", "lait", "lait"
"ch109", "récit", "produit", "animal", "lait", "lait"
"ch109", "récit", "produit", "animal", "lait", "lait"
"ch109", "récit", "produit", "boisson", "lait", "lait"
"ch109", "récit", "ustensile", "", "litière", "litières"
"ch109", "récit", "mets", "", "oie", "mets"
"ch109", "récit", "produit", "animal", "vache", "normandes"
"ch109", "récit", "produit", "animal", "oie", "oie"
"ch109", "récit", "produit", "animal", "oie", "oies"
"ch109", "récit", "produit", "animal", "oie", "oies"
"ch109", "récit", "produit", "animal", "oie", "oie "
"ch109", "récit", "produit", "animal", "dindon", "oiseau"
"ch109", "récit", "produit", "fabriqué", "oreilleir", "oreillers"
"ch109", "récit", "produit", "animal", "plume", "plume"
"ch109", "récit", "produit", "fabriqué", "plume", "plumes pour écrire"
"ch109", "récit", "mets", "", "préparation culinaire", "préparations culinaires"
"ch109", "récit", "mets", "", "pâté d'Amiens", "pâtés d'Amiens"
"ch109", "récit", "ustensile", "", "râtelier", "râteliers"
"ch109", "récit", "ustensile", "", "tasse", "tasse"
"ch109", "récit", "ustensile", "", "tasse", "tasses"
"ch109", "récit", "mets", "", "terrine de Nérac", "terrines de Nérac"
"ch109", "récit", "produit", "animal", "vache", "vaches"
"ch109", "récit", "produit", "animal", "vache", "vaches"
"ch109", "récit", "ustensile", "", "vaisselle", "vaisselle"
"ch109", "récit", "produit", "animal", "aniaml", "volailles"
"ch109", "récit", "ustensile", "", "étable", "étables"
"ch109", "questionnaire", "produit", "animal", "lait", "lait"
"ch109", "questionnaire", "produit", "animal", "lait", "lait"
"ch109", "questionnaire", "ustensile", "", "râtelier", "râteliers"
"ch109", "questionnaire", "produit", "animal", "vache", "vaches"
"ch109", "sciences_naturelles", "produit", "animal", "vache", "VACHE"
"ch109", "sciences_naturelles", "produit", "animal", "bovin", "animaux"
"ch109", "sciences_naturelles", "produit", "animal", "bovins", "animaux"
"ch109", "sciences_naturelles", "produit", "animal", "animal domestique", "animaux domestiques"
"ch109", "sciences_naturelles", "produit", "fabriqué", "bleu de Prusse", "bleu de Prusse"
"ch109", "sciences_naturelles", "produit", "fabriqué", "boîte", "boîtes"
"ch109", "sciences_naturelles", "produit", "animal", "bæif", "bœuf"
"ch109", "sciences_naturelles", "produit", "animal", "bœuf", "bœuf"
"ch109", "sciences_naturelles", "produit", "animal", "bœuf", "bœuf"
"ch109", "sciences_naturelles", "ustensile", "", "bœuf", "bœuf"
"ch109", "sciences_naturelles", "produit", "animal", "viande bovine", "chair"
"ch109", "sciences_naturelles", "produit", "carné", "vache", "chair"
"ch109", "sciences_naturelles", "ustensile", "", "chariot", "chariots"
"ch109", "sciences_naturelles", "ustensile", "", "charrue", "charrue"
"ch109", "sciences_naturelles", "ustensile", "", "cheval", "cheval"
"ch109", "sciences_naturelles", "produit", "animal", "corne", "cornes"
"ch109", "sciences_naturelles", "produit", "animal", "corne", "cornes"
"ch109", "sciences_naturelles", "produit", "animal", "cuir", "cuir"
"ch109", "sciences_naturelles", "produit", "animal", "dépouilles", "dépouilles"
"ch109", "sciences_naturelles", "produit", "animal", "bovin", "espèce bovine"
"ch109", "sciences_naturelles", "produit", "fabriqué", "fil", "fil"
