"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch091", "récit", "", "", "mme_richard", "Mme Richard"
"ch091", "récit", "", "", "mme_richard", "Mme Richard"
"ch091", "récit", "", "", "mme_richard", "Mme Richard"
"ch091", "récit", "", "", "pascal", "Pascal"
"ch091", "récit", "", "", "pascal", "Pascal"
"ch091", "récit", "", "", "suzette", "Suzette"
"ch091", "récit", "", "", "suzette", "Suzette"
"ch091", "questionnaire", "", "", "mme_richard", "Mme Richard"
"ch091", "questionnaire", "", "", "suzette", "Suzette"
"ch091", "civilité", "", "", "mme_richard", "Mme Richard"
