"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch030", "récit", "", "", "", "Amérique"
"ch030", "récit", "http://www.wikidata.org/entity/Q30", "", "United States of America", "Amérique"
"ch030", "récit", "http://www.wikidata.org/entity/Q46", "", "Europe", "Europe"
"ch030", "récit", "", "", "", "France"
"ch030", "questionnaire", "", "", "", "Amérique"
"ch030", "questionnaire", "", "", "", "France"
"ch030", "questionnaire", "", "", "", "États-Unis"
"ch030", "géographie", "", "", "", "Allemagne"
"ch030", "géographie", "", "", "", "Amérique"
"ch030", "géographie", "", "", "", "Amérique"
"ch030", "géographie", "http://www.wikidata.org/entity/Q49", "", "North America", "Amérique"
"ch030", "géographie", "http://www.wikidata.org/entity/Q30", "", "United States of America", "Amérique"
"ch030", "géographie", "http://www.wikidata.org/entity/Q30", "", "United States of America", "Amérique"
"ch030", "géographie", "", "", "", "Amérique méridionale"
"ch030", "géographie", "", "", "", "Amérique septentrionale"
"ch030", "géographie", "http://www.wikidata.org/entity/Q5783", "", "Andalusia", "Andalousie"
"ch030", "géographie", "http://www.wikidata.org/entity/Q97", "", "Atlantic Ocean", "Atlantique"
"ch030", "géographie", "http://www.wikidata.org/entity/Q202439", "", "Calvi", "Calvi"
"ch030", "géographie", "http://www.wikidata.org/entity/Q14112", "", "Corsica", "Corse"
"ch030", "géographie", "http://www.wikidata.org/entity/Q241", "", "Cuba", "Cuba"
"ch030", "géographie", "", "", "", "Espagne"
"ch030", "géographie", "http://www.wikidata.org/entity/Q29", "", "Spain", "Espagne"
"ch030", "géographie", "http://www.wikidata.org/entity/Q46", "", "Europe", "Europe"
"ch030", "géographie", "", "", "", "France"
"ch030", "géographie", "http://www.wikidata.org/entity/Q1144797", "", "Guanahani", "Guanahain"
"ch030", "géographie", "http://www.wikidata.org/entity/Q790", "", "Haiti", "Haïti"
"ch030", "géographie", "http://www.wikidata.org/entity/Q668", "", "India", "Indes"
"ch030", "géographie", "http://dbpedia.org/resource/Lucayan_Archipelago", "", "Lucayan Archipelago", "Lucayes"
"ch030", "géographie", "http://www.wikidata.org/entity/Q5363289", "", "Lucayan Archipelago", "Lucayes"
"ch030", "géographie", "http://www.wikidata.org/entity/Q622030", "", "Palos de la Frontera", "Palos"
"ch030", "géographie", "", "", "", "Portugal"
"ch030", "géographie", "http://www.wikidata.org/entity/Q25277", "", "Hispaniola", "Saint-Domingue"
"ch030", "géographie", "http://www.wikidata.org/entity/Q31508221", "", "San Salvador Island", "San-Salvador"
"ch030", "géographie", "http://dbpedia.org/resource/North_America", "", "North America", "continent américain"
"ch030", "géographie", "http://www.wikidata.org/entity/Q17358977", "", "L’Isthme de Suez", "l'isthme de Suez"
"ch030", "géographie", "http://www.wikidata.org/entity/Q17358976", "", "L’Isthme de Panama", "l'isthme de Panama"
"ch030", "géographie", "http://www.wikidata.org/entity/Q30", "", "United States of America", "États-Unis"
