"Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch001", "récit", "ustensile", "", "casserole", " \casserole de terre"
"ch001", "récit", "ustensile", "", "assiette", "assiette"
"ch001", "récit", "ustensile", "", "crémaillère", "crémaillère"
"ch001", "récit", "ustensile", "", "cuiller", "cuiller"
"ch001", "récit", "ustensile", "", "cuiller", "cuiller"
"ch001", "récit", "produit", "végétal", "haricot", "haricots"
"ch001", "récit", "produit", "végétal", "légume", "légumes"
"ch001", "récit", "produit", "légume", "navet", "navets"
"ch001", "récit", "produit", "féculent", "pain", "pain"
"ch001", "récit", "mets", "", "plat", "plat"
"ch001", "récit", "ustensile", "", "soupière", "soupière"
"ch001", "récit", "produit", "légume", "épluchure", "épluchures"
"ch001", "morale", "ustensile", "", "dressoir", "dressoir"
"ch001", "morale", "ustensile", "", "vaisselle", "vaisselle"
"ch001", "civilité", "produit", "féculent", "pain", "pain"
"ch001", "civilité", "produit", "carné", "viande", "viande"
"ch001", "civilité", "produit", "boisson", "vin", "vin""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch002", "récit", "ustensile", "", "chaudron", "chaudron"
"ch002", "récit", "produit", "végétal", "harricot", "harricots rouges"
"ch002", "récit", "ustensile", "", "soupière", "soupière à ramages"
"ch002", "français", "produit", "végétal", "haricot", "haricots"
"ch002", "français", "produit", "végétal", "haricot", "haricots""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch003", "histoire", "produit", "animal", "animal", "animaux"
"ch003", "histoire", "produit", "minéral", "minéral", "minéraux"
"ch003", "histoire", "produit", "végétal", "végétal", "végétaux""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch004", "récit", "produit", "animal", "gibier", "gibier"
"ch004", "histoire", "mets", "", "nourriture", "nourriture"
"ch004", "histoire", "produit", "poisson", "poisson", "poisson"
"ch004", "histoire", "produit", "fruit", "fruit", "âpres fruits""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch005", "récit", "ustensile", "", "soupière", "soupière"
"ch005", "sciences_naturelles", "produit", "animal", "miel", "miel"
"ch005", "économie_domestique", "produit", "", "aliment", "aliments"
"ch005", "économie_domestique", "produit", "légume", "légume", "légumes""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch006", "récit", "ustensile", "", "chaudron", "chaudron"
"ch006", "récit", "ustensile", "", "soupière", "soupière"
"ch006", "récit", "ustensile", "", "soupière", "soupière"
"ch006", "morale", "mets", "", "mets", "mets"
"ch006", "morale", "ustensile", "", "poêle", "poêle"
"ch006", "morale", "mets", "", "repas", "repas"
"ch006", "sciences_naturelles", "produit", "végétal", "pomme de terre", "La pomme de terre"
"ch006", "sciences_naturelles", "produit", "végétal", "pomme de terre", "La pomme de terre"
"ch006", "sciences_naturelles", "produit", "fruit", "fruit", "fruits"
"ch006", "sciences_naturelles", "produit", "végétal", "pomme de terre", "pomme de terre"
"ch006", "sciences_naturelles", "produit", "animal", "porc", "porc""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch007", "récit", "", "", "", "un étendard bourguignon"
"ch007", "sciences_naturelles", "produit", "animal", "gibier", "gibier""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch008", "récit", "ingrédient", "éparco", "aromate", "Aromate"
"ch008", "récit", "mets", "", "mets assaisonné", "Mets assaisonné"
"ch008", "récit", "mets", "", "ragoût", "Ragoût"
"ch008", "récit", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "récit", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "récit", "ingrédient", "éparco", "aromate", "aromates "
"ch008", "récit", "produit", "éparco", "giroflier", "bouton à fleur du giroflier"
"ch008", "récit", "mets", "", "charbon", "charbon"
"ch008", "récit", "ingrédient", "éparco", "clou de grirofle", "clou de girofle"
"ch008", "récit", "mets", "", "alimentation", "cuisine"
"ch008", "récit", "mets", "", "alimentation", "cuisine"
"ch008", "récit", "ustensile", "", "eau", "eau"
"ch008", "récit", "produit", "éparco", "laurier", "feuille du laurier"
"ch008", "récit", "produit", "éparco", "muscadier", "fruit du muscadier"
"ch008", "récit", "ustensile", "", "marmite", "la marmite"
"ch008", "récit", "ingrédient", "légume", "légume", "légume"
"ch008", "récit", "ingrédient", "légume", "légume", "légumes"
"ch008", "récit", "mets", "", "met", "mets"
"ch008", "récit", "ingrédient", "carné", "viande", "morceau de viande"
"ch008", "récit", "produit", "éparco", "noix de muscade", "noix de muscade"
"ch008", "récit", "produit", "éparco", "muscadier", "plante"
"ch008", "récit", "produit", "éparco", "thym", "plante odoriférante"
"ch008", "récit", "ustensile", "", "poêle", "poêle"
"ch008", "récit", "mets", "", "ragoût", "ragoût"
"ch008", "récit", "mets", "", "ragoût", "ragoût"
"ch008", "récit", "mets", "", "ragoût", "ragoût brûlé"
"ch008", "récit", "", "", "repas", "repas"
"ch008", "récit", "mets", "", "soupe", "soupe"
"ch008", "récit", "mets", "", "alimentation", "table"
"ch008", "récit", "ingrédient", "éparco", "thym", "thym"
"ch008", "récit", "ingrédient", "carné", "viande", "viande découpée"
"ch008", "questionnaire", "mets", "", "met", "mets"
"ch008", "questionnaire", "", "", "repas", "repas "
"ch008", "français", "ustensile", "", "marmite", "marmite"
"ch008", "français", "mets", "", "ragoût", "ragoût"
"ch008", "français", "ustensile", "", "table", "table"
"ch008", "économie_domestique", "ingrédient", "éparco", "poireau", " poireau"
"ch008", "économie_domestique", "ingrédient", "éparco", "thym", " thym"
"ch008", "économie_domestique", "ingrédient", "éparco", "anis", "'anis"
"ch008", "économie_domestique", "ingrédient", "éparco", "ail", "ail"
"ch008", "économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "économie_domestique", "ingrédient", "laitier", "beurre", "beurre frais"
"ch008", "économie_domestique", "ingrédient", "éparco", "cannelle", "cannelle"
"ch008", "économie_domestique", "ingrédient", "éparco", "capucine", "capucines"
"ch008", "économie_domestique", "ingrédient", "éparco", "cerfeuil", "cerfeuil"
"ch008", "économie_domestique", "ingrédient", "éparco", "ciboule", "ciboule"
"ch008", "économie_domestique", "ingrédient", "éparco", "condiment", "condiments"
"ch008", "économie_domestique", "ingrédient", "éparco", "condiment", "condiments"
"ch008", "économie_domestique", "mets", "", "alimentation", "cuisine"
"ch008", "économie_domestique", "ingrédient", "éparco", "câpre", "câpres"
"ch008", "économie_domestique", "ingrédient", "éparco", "estragon", "estragon"
"ch008", "économie_domestique", "ustensile", "", "feu", "feu"
"ch008", "économie_domestique", "ustensile", "", "feu", "feu"
"ch008", "économie_domestique", "ustensile", "", "fourneau", "fourneau"
"ch008", "économie_domestique", "ingrédient", "éparco", "girolfle", "girofle"
"ch008", "économie_domestique", "ingrédient", "carné", "viande", "jus"
"ch008", "économie_domestique", "ustensile", "", "casserole", "la casserole"
"ch008", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch008", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch008", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch008", "économie_domestique", "ingrédient", "carné", "lard", "lard"
"ch008", "économie_domestique", "ingrédient", "éparco", "laurier", "laurier"
"ch008", "économie_domestique", "ingrédient", "éparco", "laurier", "laurier"
"ch008", "économie_domestique", "ingrédient", "éparco", "laurier", "laurier"
"ch008", "économie_domestique", "mets", "", "met", "mets"
"ch008", "économie_domestique", "mets", "", "met", "mets"
"ch008", "économie_domestique", "mets", "", "met", "mets"
"ch008", "économie_domestique", "ingrédient", "carné", "viande", "morceau la viande"
"ch008", "économie_domestique", "ingrédient", "éparco", "muscade", "muscade"
"ch008", "économie_domestique", "ingrédient", "éparco", "oignon", "oignon"
"ch008", "économie_domestique", "ingrédient", "éparco", "persil", "persil"
"ch008", "économie_domestique", "ingrédient", "éparco", "piment", "piment"
"ch008", "économie_domestique", "ingrédient", "éparco", "poivre", "poivre"
"ch008", "économie_domestique", "mets", "", "ragoût", "ragoûts"
"ch008", "économie_domestique", "ingrédient", "éparco", "serpolet", "serpolet"
"ch008", "économie_domestique", "ingrédient", "éparco", "thym", "thym"
"ch008", "économie_domestique", "ingrédient", "éparco", "thym", "thym"
"ch008", "économie_domestique", "ingrédient", "éparco", "vanille", "vanille"
"ch008", "économie_domestique", "ustensile", "", "vase", "vase"
"ch008", "économie_domestique", "ustensile", "", "vase", "vase"
"ch008", "économie_domestique", "ingrédient", "carné", "viande", "viande"
"ch008", "économie_domestique", "ingrédient", "carné", "viande", "viande"
"ch008", "économie_domestique", "ingrédient", "carné", "viande", "viandes"
"ch008", "économie_domestique", "ingrédient", "éparco", "échalote", "échalote"
"ch008", "économie_domestique", "ingrédient", "éparco", "épice", "épices"
"ch008", "économie_domestique", "ingrédient", "éparco", "épice", "épices"
"ch008", "sciences_naturelles", "produit", "légume", " choux", "choux"
"ch008", "sciences_naturelles", "produit", "animal", "miel", "miel"
"ch008", "sciences_naturelles", "produit", "légume", "navet", "navets"
"ch008", "sciences_naturelles", "produit", "légume", "radis", "radis""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch009", "composition", "produit", "fruit", "fruit", "fruit""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch010", "récit", "produit", "animal", "volaille", "volaille"
"ch010", "économie_domestique", "produit", "animal", "lapin", "lapins"
"ch010", "économie_domestique", "produit", "animal", "lapin", "lapins"
"ch010", "économie_domestique", "produit", "animal", "lapin", "lapins"
"ch010", "économie_domestique", "produit", "animal", "porc", "porc"
"ch010", "économie_domestique", "produit", "animal", "porc", "porcs"
"ch010", "économie_domestique", "produit", "animal", "porc", "porcs"
"ch010", "économie_domestique", "produit", "animal", "volaille", "volailles"
"ch010", "économie_domestique", "produit", "animal", "volaille", "volailles"
"ch010", "économie_domestique", "produit", "animal", "œuf", "œufs""Chapter", "Section", "Type", "Subtype", "Key", "Object"
