"Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch065", "récit", "produit", "féculent", "blé", "blé"
"ch065", "récit", "produit", "végétal", "café", "café"
"ch065", "récit", "produit", "fruit", "citronnier", "citronniers"
"ch065", "récit", "produit", "éparco", "huile d'olive", "huile d'olive"
"ch065", "récit", "mets", "boisson", "lait caillé", "lait caillé"
"ch065", "récit", "produit", "éparco", "miel", "miel"
"ch065", "récit", "produit", "fruit", "olive", "olive"
"ch065", "récit", "produit", "végétal", "olivier", "olivier"
"ch065", "récit", "produit", "fruit", "olivier", "oliviers"
"ch065", "récit", "produit", "fruit", "oranger", "orangers"
"ch065", "récit", "produit", "féculent", "orge", "orge"
"ch065", "récit", "produit", "fruit", "raisin", "raisin"
"ch065", "récit", "produit", "fruit", "raisin", "raisin"
"ch065", "récit", "produit", "éparco", "sucre", "sucre"
"ch065", "récit", "produit", "fruit", "vigne", "vigne"
"ch065", "récit", "produit", "fruit", "vigne", "vignes"
"ch065", "récit", "produit", "végétal", "vigne", "vignes"
"ch065", "récit", "produit", "boisson", "vin", "vin"
"ch065", "récit", "produit", "boisson", "vin", "vin"
"ch065", "récit", "produit", "boisson", "vin", "vin"
"ch065", "récit", "produit", "boisson", "vin", "vin"
"ch065", "récit", "produit", "éparco", " vinaigre", "vinaigre"
"ch065", "questionnaire", "produit", "fruit", "vigne", "vigne"
"ch065", "questionnaire", "produit", "fruit", "vigne", "vignes"
"ch065", "sciences_naturelles", "produit", "fruit", "olivier", "OLIVIER"
"ch065", "sciences_naturelles", "produit", "fruit", "olive", "fruit"
"ch065", "sciences_naturelles", "produit", "fruit", "olive", "fruits"
"ch065", "sciences_naturelles", "produit", "fruit", "olive", "fruits"
"ch065", "sciences_naturelles", "produit", "éparco", "huile d'olive", "huile"
"ch065", "sciences_naturelles", "produit", "éparco", "huile d'olive", "huile d'olive"
"ch065", "sciences_naturelles", "produit", "fruit", "olive", "olives"
"ch065", "sciences_naturelles", "produit", "fruit", "olive", "olives"
"ch065", "sciences_naturelles", "produit", "fruit", "olive", "olives"
"ch065", "sciences_naturelles", "produit", "fruit", "oliver", "olivier"
"ch065", "sciences_naturelles", "produit", "fruit", "olivier", "olivier"
"ch065", "sciences_naturelles", "produit", "fruit", "olivier", "olivier"
"ch065", "sciences_naturelles", "produit", "fruit", "olivier", "olivier"
"ch065", "sciences_naturelles", "produit", "éparco", "sel", "sel"
"ch065", "industrie", "produit", "éparco", "huile d'olive", "HUILE D'OLIVE"
"ch065", "industrie", "produit", "éparco", "huile d'olive", "huile"
"ch065", "industrie", "produit", "éparco", "huile d'olive", "huile"
"ch065", "industrie", "produit", "éparco", "huile d'olive", "huile"
"ch065", "industrie", "produit", "fruit", "olive", "olives"
